STATE,StringencyIndex,GovernmentResponseIndex,DEATHS_PER_1M_2FEB2022,TESTS_PER_1M_2FEB2022,CASES_PER_1M_2FEB2022,CONFIRMED_CASES_2FEB2022,POP,People_Homelessness,People_Homelessness_PCT_POP,PEOPLE_SERVED_PER_Rural_Health_Clinics,PEOPLE_SERVED_PER_Primary_Care_Physician,PEOPLE_SERVED_PER_Specialist_Physician,PEOPLE_SERVED_PER_PHYSICIAN,TRUMP_PCT_2020,Employer_INSURANCE,NonGroup_INSURANCE,Medicaid_INSURANCE,Medicare_INSURANCE,Military_INSURANCE,Uninsured,Uninsured_BELOW_100_PL,PL_Under_100,PL_100_199,PL_200_399,PL_400,Children_0_18,Adults_19_25,Adults_26_34,Adults_35_54,Adults_55_64,Adults_65_PLUS,Unemployed,PREEXISTING_All_Nonelderly_Adults,PREEXISTING_Adults_Ages_18_34,PREEXISTING_Adults_Ages_35_44,PREEXISTING_Adults_Ages_45_54,PREEXISTING_Adults_Ages_55_64,SMOKING_ADULTS_PCT,Cancer_Incidence_PER_ 1M,DIABETIES_PCT,Pre_Diabetes_PCT,Adults_CARDIO_DISEASE_PCT,HYPERTENSION_PCT,OBESITY_ADULTS_PCT,LUNG_DISEASE_Adults_PCT,ASTHMA_Adults_PCT,PHYSICAL_ACTIVITY_Adults_PCT,White_PCT,Black_PCT,Hispanic_PCT,Asian_PCT,NATIVE_AMERICAN_PCT,Multiple_RACE_PCT,NO_DOCTOR_VISIT_PAST_12MO_ADULTS,NO_DOCTOR_VISIT_PAST_12MO_White,NO_DOCTOR_VISIT_PAST_12MO_Black,NO_DOCTOR_VISIT_PAST_12MO_Hispanic,HOSP_BED_STATE_LOCAL_PER_1K,HOSP_BED_NON_PROFIT_PER_1K,HOSP_BED_FOR_PROFIT_PER_1K,HOSP_BED_Total_PER_1K,ICU_BEDS_PER_10K,Licensed_Nurse_Hours_AVG_HOURS_PER_RESIDENT_DAY,Total_Nursing_Staff_Hours_AVG_PER_RESIDENT_DAY,PEOPLE_SERVED_NURSE_PRACTITIONERS,Critical_Care_Physicians_PER_10K,Critical_Care_Nurses_PER_10K,SECOND_LINE_Critical_Care_Physicians_PER_10K,PCT_VACCINATED_COVID_4FEB2022,UMEMP_MAR2020,UNEMP_DEC2020,CHANGE_UNEMP_MAR2020_DEC2020,CHANGE_UNEMP_MAR2020_DEC2021
Hawaii ,57.0205,56.80115789,841,2304479,156464,221533,1415872,6458,4561.15,108913.2324,731.7168071,769.495664,375.0654362,0.34,0.51,0.03,0.167,0.179,0.077,0.037,0.099,0.11,0.13,0.293,0.466,0.228,0.072,0.116,0.255,0.132,0.197,0.06,0.25,0.17,0.22,0.3,0.38,0.106,437.3,0.111,0.07,0.048,0.307,0.246,0.043,0.089,0.816,0.204,0.012,0.103,0.394,0.001,0.184,0.058,0.043,0.127,0.083,0.21,1.72,0,1.93,1.6,1.9,4.7,3900.473829,0.45,1.09,4.19,76.2,2.1,10.3,8.2,3.9
Idaho ,30.43515915,32.56763926,2485,1494685,214719,384791,1792068,2315,1291.8,38129.10154,1007.912133,1261.131437,560.1962402,0.64,0.497,0.063,0.161,0.138,0.019,0.122,0.214,0.093,0.177,0.344,0.386,0.267,0.085,0.12,0.242,0.125,0.162,0.026,0.26,0.19,0.22,0.29,0.38,0.134,449.2,0.1,0.01,0.074,0.306,0.311,0.051,0.098,0.794,0.816,0.007,0.129,0.012,0.009,0.026,0.103,0.096,0.127,0.179,0.46,1.06,0.42,1.94,1.9,1.7,4.4,1356.599546,0.27,3.54,2.5,52.4,2.7,3.8,1.1,-0.1
Illinois ,36.07064085,43.52695594,2759,4063992,231940,2939099,12671807,10431,823.17,50086.19511,549.9677689,556.3178226,276.5622856,0.41,0.569,0.052,0.152,0.152,,0.065,0.138,0.08,0.149,0.274,0.497,0.237,0.087,0.126,0.258,0.132,0.16,0.057,0.26,0.17,0.25,0.29,0.41,0.115,475.3,0.102,0.024,0.063,0.322,0.304,0.058,0.088,0.77,0.609,0.136,0.176,0.056,0.001,0.022,0.092,0.078,0.109,0.135,0.12,2.22,0.13,2.47,2.8,1.4,3.4,1462.075343,0.64,2.12,4.79,66.3,3.7,8,4.3,2
Indiana ,31.15164258,39.51939553,3208,2729208,243012,1636011,6732223,5625,835.53,75642.95618,811.6001326,741.7610291,387.5552991,0.57,0.566,0.045,0.168,0.146,,0.061,0.168,0.122,0.145,0.294,0.438,0.246,0.091,0.118,0.25,0.134,0.161,0.03,0.3,0.2,0.26,0.38,0.47,0.183,448.7,0.139,0.017,0.086,0.348,0.373,0.087,0.098,0.734,0.786,0.092,0.072,0.024,0.002,0.023,0.094,0.082,0.121,0.208,0.4,1.93,0.38,2.71,3.6,1.5,3.6,1973.1017,0.7,1.29,4.96,53.4,3.3,4.6,1.3,-0.3
Iowa ,21.56137615,34.05698558,2744,2653880,253340,799304,3155064,2647,838.97,15315.84631,648.2564907,722.1479378,341.6050607,0.53,0.546,0.065,0.175,0.137,0.016,0.061,0.092,0.091,0.158,0.295,0.456,0.244,0.089,0.114,0.243,0.136,0.174,0.037,0.25,0.17,0.22,0.3,0.38,0.146,492,0.114,0.013,0.073,0.318,0.368,0.061,0.09,0.765,0.853,0.039,0.063,0.023,0.003,0.019,0.067,0.057,0.136,0.192,0.9,2.04,0.06,3,2,1.3,3.7,1070.238806,0.64,2.45,3.97,60.5,2.9,3.7,0.8,0.8
Kansas ,33.43308399,39.49667979,2601,759576,253877,739622,2913308,2449,840.63,16552.88871,692.8200745,725.4254017,354.3739707,0.56,0.559,0.046,0.109,0.153,0.04,0.092,0.22,0.093,0.16,0.293,0.455,0.257,0.092,0.116,0.241,0.131,0.164,0.036,0.27,0.19,0.23,0.31,0.43,0.152,463.9,0.123,0.016,0.076,0.335,0.35,0.064,0.092,0.785,0.757,0.055,0.122,0.028,0.006,0.032,0.088,0.075,0.172,0.158,1.07,1.39,0.81,3.28,3.1,1.4,4,1507.143301,0.41,4.85,3.6,59.3,3.2,4.7,1.5,0.4
Kentucky ,39.59791612,46.19480996,2909,2870592,263329,1176470,4467681,4011,897.78,15899.22105,807.6068535,649.0892218,359.8615476,0.62,0.469,0.036,0.235,0.167,,0.069,0.103,0.141,0.209,0.304,0.345,0.237,0.089,0.114,0.254,0.137,0.17,0.041,0.34,0.2,0.29,0.4,0.57,0.199,523.5,0.147,0.025,0.103,0.409,0.372,0.108,0.118,0.697,0.845,0.08,0.037,0.016,0.001,0.02,0.094,0.085,0.133,0.231,0.39,2.38,0.4,3.17,3.3,1.7,4,748.7315234,0.57,4.23,4.5,55.8,4.2,5.6,1.4,-0.1
Louisiana ,43.23124668,45.62612517,3395,2971519,253789,1179814,4648799,3173,682.54,24467.36213,718.5160441,579.7953112,320.8723637,0.58,0.431,0.031,0.275,0.156,,0.077,0.128,0.157,0.2,0.301,0.342,0.25,0.088,0.123,0.248,0.132,0.16,0.051,0.33,0.25,0.26,0.43,0.49,0.164,491.5,0.16,0.021,0.096,0.397,0.37,0.086,0.077,0.708,0.588,0.319,0.052,0.017,0.005,0.019,0.098,0.082,0.128,0.112,0.74,1.8,0.73,3.28,3.4,1.4,3.7,2216.880782,0.44,4.53,3.9,51.9,5.3,7.9,2.6,-0.2
Maine ,41.49232283,43.87469816,1309,3389276,131749,177099,1344215,2097,1560.02,34467.05478,527.1431907,563.848631,272.439225,0.44,0.458,0.066,0.179,0.204,0.042,0.051,0.165,0.081,0.179,0.327,0.413,0.19,0.075,0.11,0.252,0.16,0.213,0.048,0.28,0.18,0.26,0.3,0.41,0.145,486.6,0.113,0.029,0.085,0.362,0.299,0.092,0.102,0.788,0.932,0.014,0.017,0.011,0.007,0.019,0.077,0.075,0.127,0.144,0.06,2.47,0.07,2.59,2.2,1.5,4.5,753.9063376,0.45,3.71,5.12,77.7,3.1,5,1.9,1.7
Maryland ,36.80603175,45.20685185,2245,2975847,158482,958129,6045664,6360,1051.99,6045664.492,538.5412874,413.8315074,234.0106248,0.32,0.578,0.055,0.142,0.156,0.026,0.043,0.126,0.092,0.118,0.21,0.579,0.233,0.081,0.123,0.265,0.138,0.16,0.054,0.27,0.18,0.24,0.32,0.42,0.105,458.2,0.12,0.024,0.068,0.343,0.314,0.054,0.091,0.796,0.499,0.296,0.106,0.064,0.002,0.032,0.075,0.049,0.085,0.252,0,1.79,0.01,1.8,2.1,1.7,3.9,1071.166549,1.13,2.01,5.22,72.9,3.5,6.8,3.3,1.9
