STATE,StringencyIndex,GovernmentResponseIndex,DEATHS_PER_1M_2FEB2022,TESTS_PER_1M_2FEB2022,CASES_PER_1M_2FEB2022,CONFIRMED_CASES_2FEB2022,POP,People_Homelessness,People_Homelessness_PCT_POP,PEOPLE_SERVED_PER_Rural_Health_Clinics,PEOPLE_SERVED_PER_Primary_Care_Physician,PEOPLE_SERVED_PER_Specialist_Physician,PEOPLE_SERVED_PER_PHYSICIAN,TRUMP_PCT_2020,Employer_INSURANCE,NonGroup_INSURANCE,Medicaid_INSURANCE,Medicare_INSURANCE,Military_INSURANCE,Uninsured,Uninsured_BELOW_100_PL,PL_Under_100,PL_100_199,PL_200_399,PL_400,Children_0_18,Adults_19_25,Adults_26_34,Adults_35_54,Adults_55_64,Adults_65_PLUS,Unemployed,PREEXISTING_All_Nonelderly_Adults,PREEXISTING_Adults_Ages_18_34,PREEXISTING_Adults_Ages_35_44,PREEXISTING_Adults_Ages_45_54,PREEXISTING_Adults_Ages_55_64,SMOKING_ADULTS_PCT,Cancer_Incidence_PER_ 1M,DIABETIES_PCT,Pre_Diabetes_PCT,Adults_CARDIO_DISEASE_PCT,HYPERTENSION_PCT,OBESITY_ADULTS_PCT,LUNG_DISEASE_Adults_PCT,ASTHMA_Adults_PCT,PHYSICAL_ACTIVITY_Adults_PCT,White_PCT,Black_PCT,Hispanic_PCT,Asian_PCT,NATIVE_AMERICAN_PCT,Multiple_RACE_PCT,NO_DOCTOR_VISIT_PAST_12MO_ADULTS,NO_DOCTOR_VISIT_PAST_12MO_White,NO_DOCTOR_VISIT_PAST_12MO_Black,NO_DOCTOR_VISIT_PAST_12MO_Hispanic,HOSP_BED_STATE_LOCAL_PER_1K,HOSP_BED_NON_PROFIT_PER_1K,HOSP_BED_FOR_PROFIT_PER_1K,HOSP_BED_Total_PER_1K,ICU_BEDS_PER_10K,Licensed_Nurse_Hours_AVG_HOURS_PER_RESIDENT_DAY,Total_Nursing_Staff_Hours_AVG_PER_RESIDENT_DAY,PEOPLE_SERVED_NURSE_PRACTITIONERS,Critical_Care_Physicians_PER_10K,Critical_Care_Nurses_PER_10K,SECOND_LINE_Critical_Care_Physicians_PER_10K,PCT_VACCINATED_COVID_4FEB2022,UMEMP_MAR2020,UNEMP_DEC2020,CHANGE_UNEMP_MAR2020_DEC2020,CHANGE_UNEMP_MAR2020_DEC2021
North Dakota ,27.55775591,35.91934383,2775,794618,297537,226742,762063,541,709.91,14112.28158,621.0784072,792.1654944,348.1330313,0.65,0.577,0.069,0.104,0.167,0.021,0.062,0.143,0.11,0.163,0.298,0.429,0.245,0.102,0.137,0.232,0.128,0.156,0.032,0.25,0.19,0.21,0.29,0.38,0.151,467.8,0.109,0.015,0.075,0.298,0.326,0.051,0.082,0.762,0.841,0.024,0.04,0.014,0.052,0.026,0.065,0.06,0.127,0.167,0,4.27,0.09,4.36,3.8,1.4,4.3,1255.45799,0.79,6.36,4.21,54.1,2.3,4.7,2.4,0.9
Ohio ,36.40467914,45.35644385,2869,1801737,222045,2595504,11689090,10655,911.53,198120.1703,572.6016483,470.026541,258.1341795,0.53,0.492,0.051,0.197,0.184,0.013,0.062,0.111,0.129,0.173,0.308,0.391,0.234,0.085,0.119,0.248,0.14,0.174,0.048,0.29,0.19,0.25,0.33,0.44,0.186,473.7,0.136,0.02,0.087,0.345,0.36,0.09,0.1,0.756,0.786,0.122,0.04,0.023,0.001,0.028,0.086,0.074,0.123,0.148,0.26,2.38,0.21,2.85,3.2,1.6,3.7,902.4930513,0.81,3.59,4.56,57,4.9,5.6,0.7,-0.1
Oklahoma ,30.99010526,38.39473684,3081,1346554,248659,983937,3956973,3932,993.69,38793.85494,801.3311471,793.2985574,398.6473105,0.65,0.426,0.046,0.193,0.173,0.017,0.145,0.313,0.156,0.21,0.307,0.328,0.256,0.091,0.123,0.242,0.127,0.16,0.025,0.31,0.22,0.27,0.37,0.48,0.178,442.6,0.147,0.023,0.095,0.378,0.369,0.087,0.11,0.712,0.65,0.069,0.111,0.021,0.077,0.071,0.13,0.112,0.195,0.207,0.54,1.55,0.77,2.86,3.1,1.3,3.7,1619.718788,0.36,2.44,4.18,55.3,3.2,4.5,1.3,-0.7
Oregon ,38.52317169,45.70443857,1461,2352372,152682,643973,4217740,14655,3474.61,40948.93339,685.5884492,655.1320503,335.0071596,0.4,0.524,0.066,0.174,0.18,0.01,0.047,0.122,0.095,0.153,0.256,0.496,0.214,0.084,0.128,0.261,0.129,0.183,0.042,0.28,0.19,0.25,0.32,0.43,0.127,423.1,0.104,0.034,0.062,0.306,0.283,0.061,0.106,0.818,0.75,0.018,0.134,0.047,0.009,0.04,0.093,0.087,0.127,0.153,0.22,1.38,0.06,1.65,2,1.7,4.7,1531.496006,0.7,1.52,4.89,68,3.6,6.3,2.7,0.6
Pennsylvania ,32.75175853,44.52107612,3205,1881165,208911,2674471,12801964,13375,1044.76,180309.3453,499.8619154,440.3840219,234.1208741,0.49,0.567,0.041,0.161,0.171,,0.055,0.118,0.107,0.134,0.267,0.491,0.219,0.079,0.123,0.248,0.145,0.187,0.057,0.27,0.18,0.24,0.3,0.43,0.141,488.3,0.121,0.019,0.086,0.333,0.312,0.072,0.095,0.78,0.76,0.104,0.078,0.035,0.001,0.023,0.076,0.067,0.111,0.129,0,2.49,0.28,2.77,2.9,1.7,3.8,1680.488842,0.87,4.4,5.05,66,5.1,7.1,2,0.6
Rhode Island ,45.37939153,53.5937963,3147,6855211,326457,345836,1059362,1104,1042.14,0,379.6994874,368.4735895,187.0011597,0.39,0.547,0.052,0.187,0.161,,0.031,0.073,0.091,0.147,0.238,0.525,0.207,0.088,0.127,0.253,0.148,0.178,0.051,0.27,0.18,0.24,0.32,0.4,0.125,453,0.125,0.024,0.078,0.33,0.303,0.069,0.124,0.764,0.705,0.059,0.166,0.033,0.002,0.033,0.074,0.053,0.127,0.17,0,2.07,0,2.07,2.8,1.2,3.6,826.980484,0.91,2.26,3.95,79.3,4,7.9,3.9,1.1
South Carolina ,29.96125668,38.56497326,3032,2915558,270874,1394651,5148708,4287,832.64,59180.54617,765.0382641,734.8997313,374.833104,0.55,0.477,0.047,0.157,0.185,0.05,0.085,0.23,0.134,0.156,0.329,0.38,0.23,0.082,0.116,0.249,0.138,0.184,0.037,0.3,0.19,0.29,0.36,0.46,0.155,449.8,0.154,0.023,0.093,0.383,0.353,0.081,0.094,0.742,0.637,0.262,0.057,0.017,0.003,0.022,0.112,0.094,0.13,0.188,0.76,1.06,0.53,2.34,3,1.8,4.1,2907.232072,0.59,3.78,3.71,55.1,3,5.6,2.6,0.7
South Dakota ,14.49774574,26.68549148,3012,2287529,258787,228938,884658,1058,1195.94,15252.72481,785.6643332,905.4841753,420.6647833,0.62,0.561,0.065,0.094,0.161,0.029,0.09,0.252,0.116,0.131,0.285,0.468,0.257,0.082,0.115,0.235,0.136,0.174,0.027,0.24,0.18,0.19,0.29,0.36,0.158,463.6,0.095,0.023,0.078,0.309,0.333,0.059,0.081,0.786,0.819,0.022,0.037,0.013,0.084,0.024,0.071,0.066,0.127,0.167,0.24,4.3,0.23,4.77,1.8,1.2,3.6,877.6369048,0.42,6.62,3.57,59.1,2.9,3.3,0.4,-0.2
Tennessee ,30.74605859,36.06496671,3333,1709214,275383,1881741,6833178,7256,1061.88,39960.10405,760.0019789,633.8166953,345.598715,0.61,0.455,0.047,0.176,0.171,,0.114,0.218,0.134,0.193,0.315,0.358,0.235,0.086,0.124,0.254,0.134,0.167,0.04,0.32,0.19,0.29,0.39,0.52,0.181,469.9,0.149,0.017,0.089,0.393,0.353,0.097,0.103,0.76,0.736,0.164,0.057,0.018,0.003,0.022,0.107,0.093,0.145,0.255,0.49,1.44,0.76,2.69,3.5,1.7,3.8,745.7358944,0.63,5.29,4.33,52.9,4,5.6,1.6,0
Texas ,35.92863158,41.34678947,2771,1983920,218781,6343757,28995923,27229,939.06,91469.78821,921.0025367,789.7783642,425.1788622,0.52,0.481,0.051,0.14,0.128,0.024,0.175,0.335,0.141,0.174,0.276,0.409,0.272,0.094,0.13,0.261,0.114,0.129,0.052,0.28,0.19,0.27,0.33,0.43,0.128,410.8,0.133,0.017,0.067,0.317,0.344,0.052,0.078,0.757,0.411,0.117,0.4,0.05,0.003,0.019,0.143,0.109,0.156,0.211,0.32,0.97,0.96,2.25,2.6,1.4,3.5,1318.056412,0.48,2.64,4,59.1,4.9,6.9,2,0.3
Utah ,25.46981627,30.90694226,1294,2786973,278225,891977,3205956,3131,976.62,228996.8294,1011.023529,795.3251331,445.1479605,0.58,0.611,0.056,0.107,0.107,0.022,0.097,0.246,0.076,0.125,0.307,0.492,0.308,0.109,0.132,0.242,0.095,0.115,0.021,0.24,0.17,0.2,0.31,0.38,0.071,408.4,0.097,0.017,0.057,0.258,0.293,0.041,0.107,0.84,0.778,0.01,0.144,0.023,0.01,0.027,0.094,0.083,0.127,0.172,0.26,0.95,0.55,1.77,2.2,1.7,4.1,2649.550413,0.5,1.37,4.4,60.9,2.5,3.3,0.8,-0.4
Vermont ,39.67216252,49.33804462,873,5177683,169184,105569,623989,1110,1778.88,62398.92661,534.6951723,485.2171587,254.3780131,0.31,0.502,0.067,0.194,0.204,,0.026,0.075,0.089,0.135,0.295,0.482,0.195,0.086,0.111,0.247,0.158,0.204,0.026,0.24,0.16,0.19,0.27,0.38,0.119,465.6,0.089,0.017,0.075,0.302,0.268,0.066,0.107,0.821,0.928,0.011,0.018,0.016,0.007,0.02,0.07,0.065,0.127,0.167,0,2.04,0,2.04,1.6,1.7,4.2,1059.404075,0.49,0.98,4.75,79.5,2.6,3.5,0.9,0
Virginia ,33.26441176,40.08543243,1923,2075549,182576,1558383,8535530,5957,697.91,152420.1859,705.6490087,647.1704003,337.5728855,0.44,0.567,0.052,0.107,0.143,0.076,0.055,0.161,0.078,0.129,0.261,0.532,0.234,0.084,0.12,0.265,0.135,0.163,0.034,0.26,0.17,0.21,0.31,0.4,0.124,415.5,0.126,0.018,0.071,0.336,0.319,0.065,0.09,0.794,0.613,0.189,0.096,0.067,0.002,0.033,0.09,0.067,0.109,0.229,0.2,1.5,0.42,2.13,2.5,1.7,3.8,937.1464646,0.55,2.77,4.03,70.8,2.6,5.6,3,0.8
Washington ,43.25725361,49.33562418,1436,1428265,177997,1355428,7614892,22923,3010.29,60435.65386,673.7054221,656.909281,332.600672,0.39,0.567,0.042,0.164,0.13,0.019,0.078,0.124,0.084,0.122,0.278,0.516,0.23,0.084,0.138,0.26,0.129,0.16,0.047,0.25,0.17,0.2,0.29,0.41,0.108,451,0.098,0.019,0.067,0.303,0.285,0.052,0.098,0.83,0.675,0.038,0.13,0.089,0.011,0.05,0.079,0.066,0.14,0.16,0.38,1.18,0.1,1.66,2,1.7,4.2,2581.319322,0.59,1.81,4.45,70.2,5.3,6.3,1,-0.6
West Virginia ,33.11404199,40.02517105,3253,3037012,252867,451910,1787145,1341,750.36,30290.59357,598.9091893,588.8451469,296.9172655,0.69,0.476,0.035,0.215,0.2,0.024,0.051,0.094,0.142,0.191,0.332,0.335,0.212,0.081,0.105,0.251,0.146,0.205,0.04,0.37,0.22,0.31,0.47,0.54,0.22,493.8,0.171,0.018,0.118,0.438,0.393,0.123,0.125,0.7,0.925,0.032,0.014,0.008,0.002,0.018,0.106,0.101,0.127,0.226,0.24,2.78,0.54,3.56,3.7,1.6,3.8,938.1338583,0.52,4.87,4,56.3,5.3,6.7,1.4,-1.3
Wisconsin ,33.44109934,42.90213245,2148,2525391,262105,1526087,5822426,4515,775.45,52931.14661,667.1738429,598.7070568,315.5444465,0.49,0.617,0.044,0.122,0.154,0.014,0.048,0.11,0.082,0.137,0.314,0.467,0.23,0.085,0.116,0.251,0.143,0.175,0.03,0.25,0.19,0.22,0.26,0.37,0.131,466.1,0.1,0.011,0.061,0.31,0.319,0.056,0.096,0.811,0.811,0.062,0.071,0.03,0.007,0.02,0.068,0.059,0.102,0.152,0,1.96,0.08,2.04,2.7,1.6,4,2120.329934,0.58,2.27,5.16,63.8,3.2,4,0.8,-0.2
Wyoming ,32.71901704,36.97688073,2851,2275546,256380,148382,578758,612,1057.44,22259.92667,858.6915333,1020.737378,466.3642977,0.7,0.494,0.064,0.131,0.188,0.028,0.096,0.193,0.1,0.182,0.318,0.4,0.251,0.083,0.117,0.242,0.135,0.172,0.037,0.25,0.18,0.22,0.28,0.38,0.17,421,0.097,0.018,0.072,0.307,0.31,0.068,0.099,0.765,0.838,0.01,0.101,0.006,0.022,0.021,0.102,0.092,0.127,0.151,2.54,0.54,0.36,3.44,1.8,1.6,4,2016.578397,0.34,2.22,4.22,50,5.1,5.2,0.1,-1.4
